Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.2,1.76,1.32,
1,2.2,1.76,1.32,
2,2.2,1.76,1.32,
3,2.2,1.76,1.32,
4,2.2,1.76,1.32,
5,2.2,1.76,1.32,
6,2.2,1.76,1.32,
7,2.2,1.76,1.32,
8,2.2,1.76,1.32,
9,2.4,1.92,1.44,
10,2.6,2.08,1.56,
11,2.7,2.16,1.62,
12,2.9,2.32,1.74,
13,3.1,2.48,1.86,
14,3.2,2.56,1.92,
15,3.4,2.72,2.04,
16,3.6,2.88,2.16,
17,3.7,2.96,2.22,
18,3.9,3.12,2.34,
19,4.1,3.28,2.46,
20,4.2,3.36,2.52,
21,4.4,3.52,2.64,
22,4.6,3.68,2.76,
23,4.7,3.76,2.82,
24,4.9,3.92,2.94,
25,5.1,4.08,3.06,
26,5.2,4.16,3.12,
27,5.4,4.32,3.24,
28,5.5,4.4,3.3,
29,5.7,4.56,3.42,
30,5.9,4.72,3.54,
31,6,4.8,3.6,
32,6.2,4.96,3.72,
33,6.4,5.12,3.84,
34,6.5,5.2,3.9,
35,6.7,5.36,4.02,
36,6.9,5.52,4.14,
37,7,5.6,4.2,
38,7.2,5.76,4.32,
39,7.4,5.92,4.44,
40,7.5,6,4.5,
41,7.7,6.16,4.62,
42,7.8,6.24,4.68,
43,8,6.4,4.8,
44,8.2,6.56,4.92,
45,8.3,6.64,4.98,
46,8.5,6.8,5.1,
47,8.7,6.96,5.22,
48,8.8,7.04,5.28,
49,9,7.2,5.4,
50,9.1,7.28,5.46,
51,9.3,7.44,5.58,
52,9.5,7.6,5.7,
53,9.6,7.68,5.76,
54,9.8,7.84,5.88,
55,9.9,7.92,5.94,
56,10.1,8.08,6.06,
57,10.3,8.24,6.18,
58,10.4,8.32,6.24,
59,10.6,8.48,6.36,
60,10.7,8.56,6.42,
61,10.9,8.72,6.54,
62,11.1,8.88,6.66,
63,11.2,8.96,6.72,
64,11.4,9.12,6.84,
65,11.5,9.2,6.9,
66,11.7,9.36,7.02,
67,11.9,9.52,7.14,
68,12,9.6,7.2,
69,12.2,9.76,7.32,
70,12.4,9.92,7.44,
71,12.5,10,7.5,
72,12.7,10.16,7.62,
73,12.8,10.24,7.68,
74,13,10.4,7.8,
75,13.2,10.56,7.92,
76,13.3,10.64,7.98,
77,13.5,10.8,8.1,
78,13.6,10.88,8.16,
79,13.8,11.04,8.28,
80,14,11.2,8.4,
81,14.1,11.28,8.46,
82,14.2,11.36,8.52,
83,14.4,11.52,8.64,
84,14.5,11.6,8.7,
85,14.7,11.76,8.82,
86,14.8,11.84,8.88,
87,14.9,11.92,8.94,
88,15.1,12.08,9.06,
89,15.2,12.16,9.12,
90,15.3,12.24,9.18,
91,15.5,12.4,9.3,
92,15.6,12.48,9.36,
93,15.7,12.56,9.42,
94,15.8,12.64,9.48,
95,16,12.8,9.6,
96,16.1,12.88,9.66,
97,16.2,12.96,9.72,
98,16.3,13.04,9.78,
99,16.5,13.2,9.9,
100,16.6,13.28,9.96,
101,16.7,13.36,10.02,
102,16.8,13.44,10.08,
103,16.9,13.52,10.14,
104,17,13.6,10.2,
105,17.2,13.76,10.32,
106,17.3,13.84,10.38,
107,17.4,13.92,10.44,
108,17.5,14,10.5,
109,17.6,14.08,10.56,
110,17.7,14.16,10.62,
111,17.8,14.24,10.68,
112,18,14.4,10.8,
113,18.1,14.48,10.86,
114,18.2,14.56,10.92,
115,18.3,14.64,10.98,
116,18.4,14.72,11.04,
117,18.5,14.8,11.1,
118,18.7,14.96,11.22,
119,18.8,15.04,11.28,
120,18.9,15.12,11.34,
121,19,15.2,11.4,
122,19,15.2,11.4,
123,19.1,15.28,11.46,
124,19.2,15.36,11.52,
125,19.3,15.44,11.58,
126,19.4,15.52,11.64,
127,19.4,15.52,11.64,
128,19.5,15.6,11.7,
129,19.6,15.68,11.76,
130,19.7,15.76,11.82,
131,19.8,15.84,11.88,
132,19.8,15.84,11.88,
133,19.9,15.92,11.94,
134,20,16,12,
135,20.1,16.08,12.06,
136,20.2,16.16,12.12,
137,20.2,16.16,12.12,
138,20.3,16.24,12.18,
139,20.4,16.32,12.24,
140,20.5,16.4,12.3,
141,20.5,16.4,12.3,
142,20.6,16.48,12.36,
143,20.7,16.56,12.42,
144,20.8,16.64,12.48,
145,20.9,16.72,12.54,
146,20.9,16.72,12.54,
147,21,16.8,12.6,
148,21.1,16.88,12.66,
149,21.2,16.96,12.72,
150,21.3,17.04,12.78,
151,21.3,17.04,12.78,
152,21.4,17.12,12.84,
153,21.5,17.2,12.9,
154,21.5,17.2,12.9,
155,21.6,17.28,12.96,
156,21.7,17.36,13.02,
157,21.7,17.36,13.02,
158,21.8,17.44,13.08,
159,21.9,17.52,13.14,
160,21.9,17.52,13.14,
161,22,17.6,13.2,
162,22,17.6,13.2,
163,22.1,17.68,13.26,
164,22.2,17.76,13.32,
165,22.2,17.76,13.32,
166,22.3,17.84,13.38,
